Columna1.1;Columna1.2;Columna1.3;Columna1.4;Columna1.5;Columna1.6;Columna1.7;Columna1.72;Columna1.8;Columna1.9;Columna1.10;Columna1.11;Columna1.12;Columna1.13;Columna1.14;Columna1.15;Columna1.16;Columna1.17
Cod_Div;Latitud;Longitud;Región;Departamento;Fecha;Hora;Orden por fecha y Hora;Temperatura;Velocidad del Viento;Dirección del Viento;Presión;Punto de Rocío;Cobertura total nubosa;Precipitación (mm/h);Probabilidad de Tormenta;Humedad;Pronóstico 
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-05;13:00;1;30.0;4.6;250.0;;;;;;;Parcialmente Nublado - Lluvia Fuerte
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-05;14:00;2;25.7;2.0;339.1;1010.0;16.3;53.3;1.2;0.0;56.4;Parcialmente Nublado - Lluvia Fuerte
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-05;15:00;3;25.9;2.2;316.7;1009.7;17.7;63.3;1.4;0.0;60.5;Parcialmente Nublado - Lluvia Fuerte
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-05;16:00;4;24.9;2.3;288.6;1010.0;20.5;64.3;1.4;0.0;76.6;Parcialmente Nublado - Lluvia Fuerte
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-05;17:00;5;23.7;1.7;282.8;1010.8;20.9;70.5;1.3;0.0;84.5;Parcialmente Nublado - Lluvia Fuerte
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-05;18:00;6;21.0;1.3;290.0;1011.8;18.8;80.5;2.1;0.0;87.8;Nublado - Lluvia
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-05;19:00;7;20.4;0.7;270.5;1012.0;18.7;84.3;3.6;40.0;-;Parcialmente Nublado - Tormenta Ligera
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-05;20:00;8;20.1;1.6;285.7;1013.6;18.3;90.0;3.9;80.0;89.5;Nublado - Tormenta
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-05;21:00;9;20.0;1.0;306.7;1014.3;18.1;90.0;2.4;80.0;89.2;Nublado - Tormenta
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-05;22:00;10;19.4;0.7;295.7;1014.8;17.6;90.0;0.2;0.0;89.5;Nublado - Llovizna
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-05;23:00;11;18.6;0.7;277.2;1014.8;16.8;90.0;0.3;0.0;89.3;Nublado - Llovizna
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-06;00:00;12;18.2;0.3;282.9;1014.4;16.6;80.0;0.8;0.0;90.2;Nublado - Lluvia
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-06;01:00;13;17.9;0.4;286.1;1013.8;16.4;83.3;0.9;0.0;90.6;Nublado - Lluvia
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-06;02:00;14;17.8;0.3;221.9;1013.4;16.5;90.0;1.0;0.0;91.8;Nublado - Lluvia
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-06;03:00;15;17.6;0.3;250.4;1012.9;16.1;90.0;1.0;0.0;91.0;Nublado - Lluvia
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-06;04:00;16;17.3;0.4;48.7;1013.1;16.1;90.0;1.8;50.0;92.5;Nublado - Tormenta Ligera
76001000;3.414419;-76.52156;;Valle del Cauca;2020-10-06;05:00;17;17.1;0.6;17.4;1013.7;15.9;90.0;2.0;50.0;92.9;Nublado - Tormenta Ligera
